chain_name,chain_selector
0g,4426351306075016396
abstract,3577778157919314504
apechain,14894068710063348487
aptos,4741433654826277614
arbitrum,4949039107694359620
areon,1939936305787790600
astar-polkadot,6422105447186081193
astar-zkevm,1540201334317828111
avalanche,6433500567565415381
b2,5406759801798337480
base,15971525489660198786
berachain,1294465214383781161
bitcichain,4874388048629246000
bitlayer,7937294810946806131
bittorrent,3776006016387883143
blast,4411394078118774322
bob,3849287863852499584
botanix,4560701533377838164
bsquared,5406759801798337480
bsc,11344663589394136015
celo,1346049177634351622
centrifuge,8175830712062617656
coinex_smart_chain,1761333065194157300
core,1224752112135636129
corn,9043146809313071210
cronos,1456215246176062136
cronos-zkevm,8788096068760390840
darwinia,8866418665544333000
dexalot,5463201557265485081
ethereum,5009297550715157269
etherlink,13624601974233774587
fantom,3768048213127883732
filecoin,4561443241176882990
fraxtal,1462016016387883143
gnosis,465200170687744372
hashkey,7613811247471741961
hedera,3229138320728879060
hemi,1804312132722180201
hyperevm,2442541497099098535
immutable-zkevm,1237925231416731909
ink,3461204551265785888
kaia,9813823125703490621
kava,7550000543357438061
katana,2459028469735686113
kroma,3719320017875267166
l3x,3162193654116181371
lens,5608378062013572713
linea,4627098889531055414
mantle,1556008542357238666
memento,6473245816409426016
merlin,241851231317828981
metis,8805746078405598895
mind,11690709103138290329
mode,7264351850409363825
moonbeam,1252863800116739621
moonriver,1355020143337428062
morph,18164309074156128038
near,2039744413822257700
neonlink,8239338020728974000
opbnb,465944652040885897
optimism,3734403246176062136
plasma,9335212494177455608
plume,3208172210661564830
polygon,4051577828743386545
polygon-zkevm,4348158687435793198
private-testnet-mica,4489326297382772450
ronin,6916147374840168594
rootstock,11964252391146578476
scroll,13204309965629103672
sei,9027416829622342829
shibarium,3993510008929295315
solana,124615329519749607
soneium,12505351618335765396
sonic,1673871237479749969
taiko,16468599424800719238
telos-evm,1477345371608778000
treasure,1010349088906777999
treasure,5214452172935136222
unichain,1923510103922296319
velas,374210358663784372
wemix,5142893604156789321
worldchain,2049429975587534727
xlayer,3016212468291539606
zircuit,17198166215261833993
zklink_nova,4350319965322101699
zksync,1562403441176082196
zora,3555797439612589184
