chain_name,wormhole_chain_id
acala,12
algorand,8
aptos,22
arbitrum,23
aurora,9
avalanche,6
avalanche,43114
base,30
berachain,39
bsc,4
celestia,4004
celo,14
converge,53
cosmoshub,4000
creditcoin,59
dymension,4007
ethereum,2
evmos,4001
fantom,10
fogo,51
gnosis,25
hypercore,65000
hyperevm ,47
injective,19
ink,46
linea,38
kaia,13
karura,11
klaytn,13
kujira,4002
mantle,35
mezo,50
moca,63
moonbeam,16
monad,48
near,15
neon,17
neutron,4003
noble,4009
oasis,7
optimism,24
osmosis,20
plasma,58
plume,55
polygon,5
polygon,137
provenance,4008
pythnet,26
rootstock,33
scroll,34
seda,4006
sei,32
seievm,40
sepolia,10002
solana,1
sonic,52
stacks,60
stargaze,4005
sui,21
terra,3
terra2,18
unichain,44
worldchain,45
xlayer,37
xrplevm,57
xpla,28

























