blockchain,synth_symbol,synth_proxy_address,decimals
optimism,sETH,0xe405de8f52ba7559f9df3c368500b6e6ae6cee49,18
optimism,sLINK,0xc5db22719a06418028a40a9b5e9a7c02959d0d08,18
optimism,sBTC,0x298b9b95708152ff6968aafd889c6586e9169f1d,18
optimism,sUSD,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,18
optimism,sAAVE,0x00b8d5a5e1ac97cb4341c4bc4367443c8776e8d9,18
optimism,sUNI,0xf5a6115aa582fd1beea22bc93b7dc7a785f60d03,18
optimism,sEUR,0xfbc4198702e81ae77c06d58f81b629bdf36f0a71,18
optimism,sAVAX,0xb2b42b231c68cbb0b4bf2ffebf57782fd97d3da4,18
optimism,sMATIC,0x81ddfac111913d3d5218dea999216323b7cd6356,18
optimism,sSOL,0x8b2f7ae8ca8ee8428b6d76de88326bb413db2766,18
optimism,sINR,0xa3a538ea5d5838dc32dde15946ccd74bdd5652ff,18
ethereum,iAAVE,0x176c674ee533c6139b0dc8b458d72a93dcb3e705,18
ethereum,iADA,0x8a8079c7149b8a1611e5c5d978dca3be16545f83,18
ethereum,iBCH,0xf6e9b246319ea30e8c2fa2d1540aaebf6f9e1b89,18
ethereum,iBNB,0xafd870f32ce54efdbf677466b612bf8ad164454b,18
ethereum,iBTC,0xd6014ea05bde904448b743833ddf07c3c7837481,18
ethereum,iCEX,0x336213e1ddfc69f4701fc3f86f4ef4a160c1159d,18
ethereum,iDASH,0xcb98f42221b2c251a4e74a1609722ee09f0cc08e,18
ethereum,iDEFI,0x14d10003807ac60d07bb0ba82caeac8d2087c157,18
ethereum,iDOT,0x46a97629c9c1f58de6ec18c7f536e7e6d6a6ecde,18
ethereum,iEOS,0xf4eebdd0704021ef2a6bbe993fdf93030cd784b4,18
ethereum,iETC,0xd50c1746d835d2770dda3703b69187bffeb14126,18
ethereum,iETH,0xa9859874e1743a32409f75bb11549892138bba1e,18
ethereum,iLINK,0x2d7ac061fc3db53c39fe1607fb8cec1b2c162b01,18
ethereum,iLTC,0x79da1431150c9b82d2e5dfc1c68b33216846851e,18
ethereum,iMKR,0x0794d09be5395f69534ff8151d72613077148b29,18
ethereum,iOIL,0xa5a5df41883cdc00c4ccc6e8097130535399d9a3,18
ethereum,iREN,0x0fed38108bdb8e62ef7b5680e8e0726e2f29e0de,18
