blockchain,underlying_token_name,underlying_token_symbol,underlying_token_address,underlying_token_decimals
ethereum,Single Collateral DAI,SAI,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,18
ethereum,Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18
ethereum,usdc,USDC,0xcbfb9b444d9735c345df3a0f66cd89bd741692e9,6
ethereum,erc20,ERC20,0x36b6c4dce5465721fbd6a10edd95c4cababd71d2,18
ethereum,FakeToken,FAKE,0x292021b1e047fd0bd87f4d058a23f100d65153ec,18
ethereum,erc20,ERC20,0xf1d2d880c5dde7cc912636c2b4d080b3fe5f7b50,18
bob,MockERC20,MOCK,0x589f02cfaebf48f835ce43a8686f91857d7929cc,18
polygon,erc20,ERC20,0xdac671baee0176012ea8e4b30ef824ac8a210c5e,6
polygon,erc20,ERC20,0x33eef5d955da603208dec0d710c7285ff4a4f379,6
polygon,erc20,ERC20,0xac5e7adedd10655355275955287bb080809417cd,6
polygon,WrytLabs Stable USD,wySUSD,0x891e48c62c5a4819ca6ff935eff6b09e218b627d,18
base,ERC20,ERC20,0x9ab96a4668456896d45c301bc3a15cee76aa7b8d,6
base,BTC vault ERC-20 contract,vaultBTC,0x6951d64fa04e94cf663df8111447e95f2c5f43f2,18
base,ERC20,ERC20,0x7b20e626775efead297550a80f6e7b5fe9795f38,6
base,ERC20,ERC20,0x2c28ac6aa2f17e8dfa3e2561338c6357ead53c32,6
base,JRT Token,JRT,0xafaee977c1137297414d7dbb8c0dfa555017e292,18
base,ERC20,ERC20,0xec7de4956a4569c2a1d171e4dd115a611c8e9ee5,18
base,Piggy Pount,Piggy,0xf7465088c8bee9ed48e8c1efd39e3cafe0ca9547,18
base,Verified Wrapped Ether,vWETH,0xd05b21a25c02d6634073e86b543e518ad9256d94,18
base,Ghost Dollar,GHOST,0x1d198cf976a67cac09b3befeb7a8cb5a7c440272,6
base,Verified Wrapped Ether,vWETH,0x7e0f7e9d8e75beab54fd0ee00b566306a171a337,18
base,erc20,ERC20,0xcb35be279968f6c53ebf73c8d9d5d7aaf4d34956,6
base,Euler Labubu,LABU,0x73756946591e41df84144d99f6298530633d4aa7,1
base,Test Vault,stTEST,0xd1738949e693c498978ebb7807a78873edc13381,18
bsc,MockERC20,MOCK,0xfb0d7a36998aae560e791c86a54c5c0036770258,18
bsc,dForce GOLDx,GOLDx,0xa05478b34fad86cc86f07eb6698c69ea60b266e3,18
