chain,platform,vault_address
ethereum,allbridge-v2,0xa7062bba94c91d565ae33b893ab5dfaf1fc57c4d
ethereum,allbridge-v2,0x7dbf07ad92ed4e26d5511b4f285508ebf174135d
ethereum,stargate-v1,0x692953e758c3669290cb1677180c64183cee374e
ethereum,stargate-v1,0xfa0f307783ac21c39e939acff795e27b650f6e68
ethereum,stargate-v1,0xe8f55368c82d38bbbbdb5533e7f56afc2e978cc2
ethereum,stargate-v1,0x0faf1d2d3ced330824de3b8200fc8dc6e397850d
ethereum,stargate-v1,0x590d4f8a68583639f215f675f3a259ed84790580
ethereum,stargate-v1,0xdf0770df86a8034b3efef0a1bb3c889b8332ff56
ethereum,stargate-v1,0x38ea452219524bb87e18de1c24d3bb59510bd783
ethereum,synapse-v1,0x1116898dda4015ed8ddefb84b6e8bc24528af2d8
optimism,allbridge-v2,0xb24a05d54fcacfe1fc00c59209470d4cafb0deea
optimism,allbridge-v2,0x3b96f88b2b9eb87964b852874d41b633e0f1f68f
optimism,stargate-v1,0x165137624f1f692e69659f944bf69de02874ee27
optimism,stargate-v1,0x3533f5e279bdbf550272a199a223da798d9eff78
optimism,stargate-v1,0x2f8bc9081c7fcfec25b9f41a50d97eaa592058ae
optimism,stargate-v1,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298
optimism,stargate-v1,0x368605d9c6243a80903b9e326f1cddde088b8924
optimism,stargate-v1,0x5421fa1a48f9ff81e4580557e86c7c0d24c18036
optimism,synapse-v1,0xf44938b0125a6662f9536281ad2cd6c499f22004
arbitrum,allbridge-v2,0x47235cb71107cc66b12af6f8b8a9260ea38472c7
arbitrum,allbridge-v2,0x690e66fc0f8be8964d40e55ede6aebdfcb8a21df
arbitrum,stargate-v1,0x892785f33cdee22a30aef750f285e18c18040c3e
arbitrum,stargate-v1,0x600e576f9d853c95d58029093a16ee49646f3ca5
arbitrum,stargate-v1,0x915a55e36a01285a14f05de6e81ed9ce89772f8e
arbitrum,stargate-v1,0x1ae7ca4092c0027bbbb1ce99934528acf6e7074b
arbitrum,stargate-v1,0xb6cfcf89a7b22988bfc96632ac2a9d6dab60d641
arbitrum,stargate-v1,0xaa4bf442f024820b2c28cd0fd72b82c63e66f56c
arbitrum,stargate-v1,0xf39b7be294cb36de8c510e267b82bb588705d977
avalanche,allbridge-v2,0x2d2f460d7a1e7a4fcc4ddab599451480728b5784
avalanche,allbridge-v2,0xe827352a0552ffc835c181ab5bf1d7794038ec9f
avalanche,stargate-v1,0x1205f31718499dbf1fca446663b532ef87481fe1
avalanche,stargate-v1,0x29e38769f23701a2e4a8ef0492e19da4604be62c
avalanche,stargate-v1,0x1c272232df0bb6225da87f4decd9d37c32f63eea
avalanche,stargate-v1,0x45524dc9d05269e1101ad7cff1639ae2aa20989d
avalanche,stargate-v1,0x8736f92646b2542b3e5f3c63590ca7fe313e283b
base,allbridge-v2,0xda6bb1ec3baba68b26bea0508d6f81c9ec5e96d5
base,stargate-v1,0x28fc411f9e1c480ad312b3d9c60c22b965015c6b
base,stargate-v1,0x4c80e24119cfb836cdf0a6b53dc23f04f7e652ca
bsc,allbridge-v2,0xf833afa46fcd100e62365a0fdb0734b7c4537811
bsc,allbridge-v2,0x8033d5b454ee4758e4bd1d37a49009c1a81d8b10
bsc,stargate-v1,0x9aa83081aa06af7208dcc7a4cb72c94d057d2cda
bsc,stargate-v1,0x98a5737749490856b401db5dc27f522fc314a4e1
bsc,stargate-v1,0x4e145a589e4c03cbe3d28520e4bf3089834289df
bsc,stargate-v1,0x5a0f550bfcade1d898034d57a6f72e7aef32ce79
bsc,stargate-v1,0x7bfd7f2498c4796f10b6c611d9db393d3052510c
bsc,stargate-v1,0xd4cec732b3b135ec52a3c0bc8ce4b8cfb9dace46
optimism,allbridge-v2,0xb24a05d54fcacfe1fc00c59209470d4cafb0deea
optimism,allbridge-v2,0x3b96f88b2b9eb87964b852874d41b633e0f1f68f
optimism,stargate-v1,0xd22363e3762ca7339569f3d33eade20127d5f98c
optimism,stargate-v1,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298
optimism,stargate-v1,0xb0a7e3b4aedb6f103bc43f2603c6e73151c8886b
optimism,stargate-v1,0x368605d9c6243a80903b9e326f1cddde088b8924
optimism,stargate-v1,0x2f8bc9081c7fcfec25b9f41a50d97eaa592058ae
optimism,stargate-v1,0x165137624f1f692e69659f944bf69de02874ee27
optimism,stargate-v1,0x3533f5e279bdbf550272a199a223da798d9eff78
optimism,stargate-v1,0x5421fa1a48f9ff81e4580557e86c7c0d24c18036
polygon,allbridge-v2,0x4c42dfdbb8ad654b42f66e0bd4dbdc71b52eb0a6
polygon,allbridge-v2,0x0394c4f17738a10096510832beab89a9dd090791
polygon,stargate-v1,0x58cc621c62b0aa9babfae5651202a932279437da
polygon,stargate-v1,0x1205f31718499dbf1fca446663b532ef87481fe1
polygon,stargate-v1,0x1c272232df0bb6225da87f4decd9d37c32f63eea
polygon,stargate-v1,0x29e38769f23701a2e4a8ef0492e19da4604be62c
polygon,stargate-v1,0xeae5c2f6b25933deb62f754f239111413a0a25ef
polygon,stargate-v1,0x8736f92646b2542b3e5f3c63590ca7fe313e283b
