blockchain,contract_address,stablecoin_label
optimism,0x0000206329b97db379d5e1bf586bbdb969c63274,Angle: USDA
optimism,0x323665443cef804a3b5206103304bd4872ea4253,Verified: USDV
optimism,0x087c440f251ff6cfe62b86dde1be558b95b4bb9b,Liquity: BOLD Legacy
optimism,0x73cb180bf0521828d8849bc8cf2b920918e23032,Overnight: USD+
optimism,0xbfd291da8a403daaf7e5e9dc1ec0aceacd4848b9,dForce: USX
optimism,0xc40f949f8a4e094d1b49a23ea9241d289b7b2819,Liquity: LUSD
optimism,0xdfa46478f9e5ea86d57387849598dbfb2e964b02,QiDAO: MIMATIC
optimism,0x9c9e5fd8bbc25984b178fdce6117defa39d2db39,Binance: BUSD
optimism,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,Tether: USDT
optimism,0x0b2c639c533813f4aa9d7837caf62653d097ff85,Circle: USDC
optimism,0x7f5c764cbc14f9669b88837ca1490cca17c31607,Circle: USDC.e
optimism,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,Maker: DAI
optimism,0x2e3d870790dc77a83dd1d18184acc7439a53f475,Frax: FRAX
optimism,0x59d9356e565ab3a36dd77763fc0d87feaf85508c,Mountain: USDM
optimism,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,Synthetix: sUSD
optimism,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b,Reflexer: RAI
optimism,0x8ae125e8653821e851f12a49f7765db9a9ce7384,Inverse: DOLA
optimism,0x4f604735c1cf31399c6e711d5962b2b3e0225ad3,Glo: USDGLO
optimism,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,Curve: crvUSD
optimism,0xc5b001dc33727f8f26880b184090d3e252470d45,Ethos: ERN
optimism,0xb153fb3d196a8eb25522705560ac152eeec57901,Abracadabra: MIM
optimism,0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b,BOB: BOB
optimism,0xcb8fa9a76b8e203d8c3797bf438d8fb81ea3326a,Alchemix: ALUSD
optimism,0x01bff41798a0bcf287b996046ca68b395dbc1071,Tether: USD₮0
