chain,asset,id,lpTokenSymbol,address,oftAddress
Ethereum,USDC,1,S*USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000
Ethereum,USDT,2,S*USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc026395860db2d07ee33e05fe50ed7bd583189c7   
Ethereum,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Ethereum,METIS,17,S*METIS,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0x0000000000000000000000000000000000000000
Ethereum,mETH,22,S*mETH,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,0x0000000000000000000000000000000000000000
BSC,USDC,1,S*USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x0000000000000000000000000000000000000000
BSC,USDT,2,S*USDT,0x55d398326f99059fF775485246999027B3197955,0x0000000000000000000000000000000000000000
Avalanche,USDC,1,S*USDC,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0x0000000000000000000000000000000000000000
Avalanche,USDT,2,S*USDT,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0x0000000000000000000000000000000000000000
Polygon,USDC,1,S*USDC,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0x0000000000000000000000000000000000000000
Polygon,USDT,2,S*USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x0000000000000000000000000000000000000000
Arbitrum,USDC,1,S*USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0x0000000000000000000000000000000000000000
Arbitrum,USDT,2,S*USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0x0000000000000000000000000000000000000000
Arbitrum,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Optimism,USDC,1,S*USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x0000000000000000000000000000000000000000
Optimism,USDT,2,S*USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0x0000000000000000000000000000000000000000
Optimism,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Metis,m.USDT,2,S*USDT,0xbb06dca3ae6887fabf931640f67cab3e3a16f4dc,0x0000000000000000000000000000000000000000
Metis,WETH,13,S*WETH,0x420000000000000000000000000000000000000a,0x0000000000000000000000000000000000000000
Metis,METIS,17,S*METIS,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x0000000000000000000000000000000000000000
Linea,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Mantle,USDC,1,S*USDC,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x0000000000000000000000000000000000000000
Mantle,USDT,2,S*USDT,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x0000000000000000000000000000000000000000
Mantle,WETH,13,S*WETH,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0x0000000000000000000000000000000000000000
Mantle,mETH,22,S*mETH,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x0000000000000000000000000000000000000000
Base,USDC,1,S*USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x27a16dc786820b16e5c9028b75b99f6f604b5d26
Base,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0xdc181bd607330aeebef6ea62e03e5e1fb4b6f7c7
Kava,USDT,2,S*USDT,0x919c1c267bc06a7039e03fcc2ef738525769109c,0x0000000000000000000000000000000000000000
Scroll,USDC.e,1,S*USDC.e,0x06efdbff2a14a7c8e15944d1f4a48f9f95f663a4,0x0000000000000000000000000000000000000000
Scroll,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Aurora,USDC,1,S*USDC,0x368ebb46aca6b8d0787c96b2b20bd3cc3f2c45f7,0x0000000000000000000000000000000000000000
Sei,USDC,1,S*USDC,0x3894085ef7ff0f0aedf52e2a2704928d1ec074f1,0x0000000000000000000000000000000000000000
Sei,USDT,2,S*USDT,0x0db9afb4c33be43a0a0e396fd1383b4ea97ab10a,0x0000000000000000000000000000000000000000
Lightlink,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Core,USDC,1,S*USDC,0xa4151b2b3e269645181dccf2d426ce75fcbdeca9,0x0000000000000000000000000000000000000000
Core,USDT,2,S*USDT,0x900101d06a7426441ae63e9ab3b9b0f63be145f1,0x0000000000000000000000000000000000000000
Abstract,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Soneium,USDC,1,S*USDC,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Soneium,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Hemi,ETH,13,S*ETH,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
Sonic,USDC,1,S*USDC,0x29219dd400f2bf60e5a23d13be72b486d4038894,0x0000000000000000000000000000000000000000
Gnosis,USDC,1,S*USDC,0x2a22f9c3b484c3629090feed35f17ff8f88f76f0,0x0000000000000000000000000000000000000000
Gnosis,ETH,13,S*ETH,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,0x0000000000000000000000000000000000000000
Unichain,ETH,13,S*ETH,0xe9aba835f813ca05e50a6c0ce65d0d74390f7de7,0x0000000000000000000000000000000000000000
