index,package,category,data_type,key,parent_key
10001,GLOBAL,NULL,BOOLEAN,GLOBAL_BRONZE_FR_ENABLED,NULL
10002,GLOBAL,NULL,STRING,GLOBAL_CHAIN_NETWORK,NULL
10003,GLOBAL,GOLD,BOOLEAN,GLOBAL_GOLD_FR_ENABLED,NULL
10004,GLOBAL,LOGGING,BOOLEAN,GLOBAL_LOGGING_MODEL_LOGS_ENABLED,NULL
10199,GLOBAL,NULL,STRING,GLOBAL_NODE_URL,NULL
10005,GLOBAL,NULL,STRING,GLOBAL_NODE_VAULT_PATH,NULL
10006,GLOBAL,NULL,STRING,GLOBAL_PROD_DB_NAME,NULL
10007,MAIN_PACKAGE,CORE,BOOLEAN,MAIN_CORE_RECEIPTS_BY_HASH_ENABLED,NULL
10008,GLOBAL,SILVER,BOOLEAN,GLOBAL_SILVER_FR_ENABLED,NULL
10009,GLOBAL,STREAMLINE,BOOLEAN,GLOBAL_STREAMLINE_FR_ENABLED,NULL
10010,GLOBAL,NULL,STRING,GLOBAL_WRAPPED_NATIVE_ASSET_ADDRESS,NULL
10011,DECODER_PACKAGE,ABIS,BOOLEAN,DECODER_ABIS_CONTRACT_ABIS_FR_ENABLED,NULL
10012,DECODER_PACKAGE,ABIS,STRING,DECODER_ABIS_EXPLORER_API_KEY_VAULT_PATH,NULL
10013,DECODER_PACKAGE,ABIS,NUMBER,DECODER_ABIS_EXPLORER_INTERACTION_LIMIT,NULL
10014,DECODER_PACKAGE,ABIS,NUMBER,DECODER_ABIS_EXPLORER_LIMIT,NULL
10015,DECODER_PACKAGE,ABIS,STRING,DECODER_ABIS_EXPLORER_NAME,NULL
10016,DECODER_PACKAGE,ABIS,STRING,DECODER_ABIS_EXPLORER_URL,NULL
10017,DECODER_PACKAGE,ABIS,STRING,DECODER_ABIS_EXPLORER_URL_SUFFIX,NULL
10018,DECODER_PACKAGE,STREAMLINE,NUMBER,DECODER_SL_DECODED_LOGS_HISTORY_WAIT_SECONDS,NULL
